The South American Crustal Structure Database

10.45N	5.1	0	8.2	0		43.4	0.8	0	NAC-CO	4	E
84.95W	6.2	0	12.9	8.2		43.4	MCz	0	77M.2	O	RO
	6.6	0	22.3	21.1							
	7.9	0	0	43.4	m						
											
1.61N	5.5	0	3	0	sg	60	1.6	0	SAC-AN	18	U
76.66W	5.6	0	3.1	3	sg	66.1	MCz	41.6	75O.1	O	RO
	6.05	0	6.25	6.1	cg						
	6.27	0	8.9	12.35	cg						
	6.25	0	3.75	21.25	lg						
	6.04	0	2.7	25	lg						
	6.05	0	1.8	27.7	lg						
	6.92	0	2.3	29.5	cg						
	7.02	0	11.2	31.8	cg						
	6.35	0	9.05	43	lg						
	7.22	0	7	52.05	cg						
	7.27	0	7.05	59.05	cg						
	7.7	0	7	66.1	mg						
	7.9	0	17.9	73.1	mg						
	7.6	0	9.1	91	mg						
	8.9	0	10	100.1	mg						
	9.1	0	19.9	110.1	mg						
	9.05	0	0	130	mg						
											
.42N	5.5	0	3	0	sg	60	0.9	0	SAC-AN	20	U
77.45W	5.6	0	3.1	3	sg	66.1	MCz	205.6	75O.1	O	RO
	6.05	0	5.5	6.1	cg						
	6.26	0	8.9	11.6	cg						
	6.22	0	4.5	20.5	lg						
	6.04	0	2.5	25	lg						
	6.05	0	1.6	27.5	lg						
	6.9	0	3.5	29.1	cg						
	7.04	0	11.9	32.6	cg						
	6.25	0	8.55	44.5	lg						
	7.34	0	2.2	53.05	cg						
	7.4	0	7.25	55.25	cg						
	7.35	0	3.6	62.5	lg						
	7.8	0	7	66.1	mg						
	8	0	20.4	73.1	mg						
	7.48	0	13	93.5	mg						
	7.5	0	1.6	106.5	mg						
	9	0	5	108.1	mg						
	9.14	0	15.9	113.1	mg						
	9.12	0	0	129	mg						
											
16.00S	5.3	0	4.1	0		51.7	2.1	0	SAC-AN	4	R
72.83W	6.2	0	21.2	4.1		51.7	MCz	287	60W.2	O	RO
	6.7	0	26.4	25.3							
	8	0	0	51.7	m						
											
15.00S	4.5	0	6.5	0	s	63.5	4.6	0	SAC-AN	8	R
71.00W	6.04	0	2.6	6.5		73	MCz	0	72O.1	P	LT
	5	0	3	9.1	l						
	6.1	0	19.4	12.1							
	6.75	0	5.1	31.5							
	6.15	0	8.9	36.6							
	6.9	0	27.5	45.5							
	8	0	0	73	m						
											
18.00S	4.5	0	6.5	0	s	29.6	4.6	0	SAC-AN	7	R
67.00W	6.04	0	2.6	6.5		39	MCz	0	72O.1	O	RO
	5	0	2.9	9.1	s						
	6.1	0	16	12							
	6.8	0	3.1	28							
	6.15	0	7.9	31.1							
	6.9	0	0	39							
											
17.25S	5.3	0	4.1	0		64.9	3.7	0	SAC-AN	4	R
66.50W	6.2	0	21.2	4.1		64.9	MCz	283	60W.2	P	LT
	6.7	0	39.6	25.3							
	8	0	0	64.9	m						
											
21.97S	5.3	0	6	0		56.6	3.2	0	SAC-AN	4	R
68.87W	6.4	0	28.4	6		56.6	MCz	282	60W.2	O	RO
	7	0	22.2	34.4							
	8	0	0	56.6	m						
											
21.97S	5.3	0	6	0		70.3	3.2	0	SAC-AN	4	R
68.87W	6.4	0	28.4	6		70.3	MCz	317	60W.2	O	RO
	7	0	35.9	34.4							
	8	0	0	70.3	m						
											
1.67N	1.7	0	0.38	0	s	0	0	0	SAC-AB	6	B
49.02W	1.9	0	0.42	0.38	s	3.1	MCz	900	77H.3	E	XC
