LAT	DEPTH	MAG	DATE	LON
37.933	5.7	0.3	20110924101300	-77.98
37.942	4.4	3	20111012164000	-77.985
37.968	2.6	2.2	20120202064100	-77.888
37.908	6.7	2.3	20110910135300	-78.004
37.958	2.8	2.5	20111212215700	-77.999
37.937	6	2.2	20110914020201	-77.967
37.924	10.2	1.2	20110827212101	-77.997
37.956	3.1	2.3	20111031102501	-77.994
37.901	6.3	2.2	20110909174801	-78.003
37.957	2.7	2.1	20111205055201	-77.999
37.93	9.4	1.8	20110826075501	-77.986
37.922	4.8	2.2	20110922170002	-77.994
37.946	8.3	1.4	20110826060902	-77.988
37.949	5.6	2.2	20111121011702	-77.967
37.932	5.7	0.4	20110830181802	-77.987
37.951	7.5	1.5	20110831163902	-77.964
37.926	5.3	1.9	20110908114002	-77.993
37.934	6.9	1.8	20110831224002	-77.991
37.944	3	2.4	20111006235102	-77.857
37.934	5.5	2.2	20111002081103	-77.98
37.942	6.1	2.2	20111204061303	-77.976
37.954	2.2	2.2	20110918084303	-77.943
37.932	7	5.7	20110823175103	-77.966
37.984	6	0.2	20110830215203	-77.819
37.94	7.6	1.9	20110827235203	-77.974
37.909	6.9	0.6	20110904015803	-77.995
37.947	6	2.3	20110922010604	-77.968
37.936	5.2	2	20110829032504	-77.992
37.948	5.8	1.8	20110905234104	-77.969
37.933	6.2	0.2	20110906104304	-77.981
37.947	5.7	2.3	20111030234804	-77.97
37.926	4.4	1.8	20110828114904	-77.99
37.878	7	5.7	20110823175104	-77.92
37.939	5.2	1.6	20110830051805	-77.989
37.937	9.1	2.1	20110828201805	-77.967
37.919	5	2.2	20111224073005	-77.998
37.968	6.9	2.2	20110907023405	-77.934
37.958	3.2	2.3	20111022183805	-77.808
37.945	6.4	2.2	20111224164005	-77.972
37.936	4.8	1.8	20110830121706	-77.986
37.949	5.4	2.3	20110921151706	-77.97
37.976	4.8	1.8	20110903152306	-77.83
37.95	6.9	2.2	20110909053606	-77.966
37.933	5.1	2.1	20111004120607	-77.981
37.94	4.5	3.4	20111106150807	-77.986
37.971	3.9	2.2	20110906212907	-77.827
37.956	6.6	2.5	20110919103007	-77.944
37.917	6.1	2.2	20110922123607	-77.985
37.939	4.7	2.3	20111010094607	-77.985
37.918	5.2	2.3	20111203005307	-77.99
37.986	7.1	2.3	20110825091508	-77.83
37.938	4.5	2.1	20110927232708	-77.989
37.963	1.7	2.5	20110907122908	-77.871
37.932	5.6	2.4	20110917083308	-77.986
37.973	3.5	2.3	20110907045408	-77.883
37.957	8.7	1.2	20110827081809	-77.858
37.88	3.5	2.1	20111026153209	-77.533
37.939	6.3	1.8	20110830194609	-77.986
37.948	5.7	2.4	20111102164809	-77.968
37.93	5.2	2	20110829125509	-77.989
37.95	6.3	2.5	20111207185609	-77.96
37.951	2.5	2.2	20111122130410	-77.942
37.936	8.9	1.5	20110826201310	-77.985
37.942	5.4	1.9	20110831172410	-77.994
37.97	2	2.4	20111012083010	-77.83
37.949	4.9	2.3	20111021183910	-77.974
37.922	3.8	2	20110831134410	-77.881
38.188	9.2	2.3	20111003180111	-77.561
37.946	8.6	1.9	20110905170611	-77.974
37.928	5.6	2.3	20110918230611	-77.985
37.949	4.2	1.9	20111007051011	-77.978
37.962	4.3	2.2	20111027122011	-77.809
37.948	5.6	2.2	20110922010612	-77.968
37.942	3.4	2	20111120060712	-77.99
37.945	3.3	2.2	20110929031412	-77.989
37.977	3	2.4	20110919002012	-77.833
37.973	4.9	2.6	20110919203312	-77.828
37.934	6.7	1.8	20110830094412	-77.99
37.936	4.6	2.1	20111112184912	-77.985
37.95	6	2.3	20111103101113	-77.964
37.878	8.9	2.4	20111230061713	-77.967
37.927	5.5	2.6	20110917153313	-77.989
37.92	8.5	1.2	20110827064313	-77.977
37.936	4.6	0	20111224020314	-77.982
37.967	5.9	2.2	20111126232014	-77.934
37.925	5.8	2.4	20110830222514	-77.985
37.932	6.1	1.7	20110906005614	-77.988
37.986	8	1.9	20110825230115	-77.836
37.942	3.9	2.2	20111204203015	-77.995
37.886	6.8	0.3	20110829033815	-77.987
37.914	6.6	1.9	20110829125015	-77.989
37.924	6.2	2.1	20110906090316	-77.88
37.942	5.7	1.9	20110902011416	-77.982
37.941	5.3	2.2	20111127042916	-77.978
37.913	6.4	2.3	20110920033116	-77.988
37.958	2.8	2.5	20111230193616	-77.999
37.945	4.6	2.3	20110826124716	-77.857
37.775	4	2.3	20111201150517	-77.691
37.941	5.7	1.9	20110829162317	-77.982
37.996	5.3	2.3	20111210004517	-77.8
37.94	8.4	1.8	20110901094617	-77.97
37.949	6.3	2.1	20110903025117	-77.845
37.939	7.2	1.6	20110826200118	-77.971
37.955	9.9	2.1	20110824060818	-77.924
37.927	7.7	1.7	20110826041218	-77.984
37.956	2.8	2.4	20111209091318	-78.003
38.052	1.9	2.1	20110922011418	-77.769
37.95	8.1	1.9	20110826212518	-77.96
37.952	2	2.2	20110922183018	-77.844
37.703	8	2.3	20111219163618	-77.665
37.969	6.7	2	20120202224718	-77.876
37.974	4.4	2.2	20110921114918	-77.826
37.943	3.9	2.2	20111019085818	-77.989
38.017	10.7	2.2	20110826030719	-77.834
37.939	14.7	1.7	20110825131319	-77.94
37.955	2.9	2.2	20120103222019	-78.002
37.908	5.5	2	20110917232819	-78
37.933	9.1	2.2	20110827124019	-77.974
37.937	9.5	2.5	20110826110220	-77.963
37.951	4.9	2.3	20111018212020	-77.969
37.938	6.9	2.2	20110920042420	-77.955
37.914	9.5	2.6	20110823182520	-77.896
37.928	9.8	1.9	20110827062720	-77.982
37.931	5.1	2	20110921053020	-77.984
37.95	7	1.9	20110911164220	-77.943
37.938	7.9	2.2	20110829031521	-77.988
38.201	10.3	2.4	20111201182121	-77.563
37.918	5.2	2.4	20111022013621	-77.991
37.959	2.5	2.2	20111214014521	-78.001
37.927	7.2	2.3	20110826225221	-77.991
37.96	2.9	2.3	20120412041122	-77.991
37.893	4.8	2.5	20120430171322	-77.522
37.914	4.8	2.2	20110919081722	-77.995
37.913	7.3	2.2	20110828021822	-77.995
37.974	1.6	2.1	20110929082022	-77.884
37.936	5.8	0.8	20110829033722	-77.991
38.199	9.3	2.2	20111213205122	-77.548
37.948	5.8	2.4	20111121010623	-77.968
37.779	6.9	2.3	20111019140723	-77.71
37.948	6.3	2.1	20111209070823	-77.964
37.969	0.8	2.5	20111104171723	-77.884
37.933	5	2.4	20120329183823	-77.984
37.946	6.1	2.2	20111204045723	-77.969
37.965	2.7	2.4	20111025190224	-77.831
37.942	3.7	2.2	20110925110724	-77.991
37.973	2.8	2.2	20110918010924	-77.829
37.943	3.8	2.3	20111119201224	-77.988
37.975	3	2.3	20110924051424	-77.829
37.973	2	2.2	20111203081924	-77.89
37.947	4.8	1.9	20110828052024	-77.974
37.931	5.2	2.3	20111130022924	-77.983
37.936	6.6	2.2	20120330114224	-77.964
37.95	3.7	2.5	20111009155324	-77.978
37.947	10.3	2.5	20110905165424	-77.973
37.974	6	1.8	20120102180725	-78.031
37.961	3	2.2	20110921091525	-77.861
37.961	2.8	2.3	20110923022225	-77.974
37.946	6.4	2.4	20111121052525	-78.125
37.96	6.9	2.2	20111002050926	-77.936
37.911	4.1	2.1	20111018101426	-77.936
37.948	3.3	2.1	20111003061626	-77.982
37.937	8.4	0.8	20110829041926	-77.99
37.904	8.9	2.3	20110823192026	-77.929
37.97	1.3	2.1	20111024012426	-77.829
37.996	7.2	1.6	20110904093726	-77.792
37.94	4.5	2.4	20110930034326	-77.982
37.848	8.9	3.4	20110824044526	-77.961
37.962	5.3	1.5	20110826185226	-77.869
37.958	2.7	2.4	20111223115626	-78.001
37.942	4.7	2.4	20111003043327	-77.981
37.99	7.8	2	20110825043627	-77.835
37.944	4.8	2.1	20110903123927	-77.858
37.869	5.3	2.5	20111208184427	-78.007
37.942	5	2.1	20110908075127	-77.991
37.936	5.1	2.2	20120102095227	-77.991
37.943	6.5	2.4	20110924125927	-77.963
37.943	10.1	2.2	20110827090228	-77.982
37.939	7.4	2.4	20110908001928	-77.994
37.945	3.3	2.3	20111112163528	-78.043
37.961	6.5	2.3	20111025053828	-77.946
37.958	2.9	2.2	20111205054128	-77.998
37.947	5.8	2.4	20111016024728	-77.971
37.907	8.8	2.6	20110830034828	-77.982
37.958	2.8	2.3	20111223035028	-78.001
37.912	8.6	1.5	20110827065428	-77.98
37.945	7	2	20110831005928	-77.959
37.94	5.2	2.2	20111006052629	-77.982
37.93	4.5	2.2	20110923143429	-77.985
37.882	3.5	2.5	20111118175229	-77.518
37.919	5.8	2.8	20120219071230	-77.991
37.962	1.7	2.2	20111225101930	-77.993
37.933	6.1	2.2	20111006142230	-77.974
37.971	6.3	2.1	20110901082530	-77.933
37.944	4.4	2.1	20111219113830	-77.982
37.968	7.5	0.1	20110828164630	-77.932
37.935	5.1	2.2	20111114190731	-77.957
37.937	4.3	0.9	20110828143231	-77.99
38.02	3.9	2.4	20120331164431	-77.8
37.948	6.2	2.3	20111024055031	-77.967
37.928	4.7	2.3	20111203055231	-77.985
37.949	6.4	2.3	20111013145531	-77.96
37.948	6.2	2.1	20110928051232	-77.97
37.973	2.8	2.2	20111129121432	-77.89
37.972	2.7	2.1	20111214141732	-77.878
37.959	2.7	2.3	20111222183232	-77.999
37.945	8.4	2	20110901123532	-77.949
37.938	7.3	2.2	20110825063732	-77.967
37.959	2.3	2.1	20110918074432	-77.994
37.948	5.8	2.5	20111103125032	-77.965
37.907	6.4	2.5	20110916135232	-77.996
37.943	4.1	2.1	20111114025632	-77.986
37.88	6.5	2.3	20111025124533	-77.967
37.928	5.3	2.5	20110909024733	-77.99
37.986	6.6	2.1	20110910064833	-77.824
37.948	6.3	2.3	20120307085233	-77.967
37.944	3.6	2.5	20111123070934	-77.987
37.915	5.8	1.8	20110903161434	-77.993
37.95	5.7	2.1	20110901182134	-77.986
37.971	5.3	2.2	20120202062634	-77.932
37.94	5.8	2.2	20111007093734	-77.974
37.952	8.7	2.2	20110826143734	-77.976
37.974	3.2	1	20110827081035	-77.901
37.948	7.1	2.1	20110831191235	-77.972
37.935	7.2	1.9	20110826023035	-77.984
37.939	5.2	1.9	20110831123335	-77.993
37.949	7.3	2.1	20110909053835	-77.966
37.944	5.6	2.3	20110917124235	-77.979
37.968	6.4	0.7	20110906124635	-77.934
37.937	8.7	1.5	20110829010636	-77.992
37.945	8.5	1.3	20110826220736	-77.947
37.924	5.4	2.1	20111026073036	-77.986
37.974	1.9	2.2	20111203043336	-77.888
37.955	3.2	2	20111216003636	-78.001
37.921	5.7	2.2	20120502083636	-77.99
37.89	3.5	2.5	20111201164136	-77.521
37.95	7.8	2.3	20110826174536	-77.974
37.905	6.3	2.1	20110912025936	-77.991
37.95	6.2	2.9	20111211020037	-77.96
37.934	9.4	4.2	20110824000437	-77.956
37.916	7.6	2.2	20120426050437	-77.99
37.944	3.7	2.3	20111120010637	-77.988
37.944	8.7	3.4	20110901090937	-77.944
37.974	3	2.5	20110919001937	-77.83
37.925	5.4	1.9	20120102012237	-77.985
37.951	4.9	2.1	20110911203337	-78.01
37.942	4.5	2.5	20111104144337	-77.989
37.949	5.5	2.3	20110918114837	-77.968
37.989	8.6	1.1	20110827105537	-77.845
37.943	8.1	1.9	20110906170638	-77.999
37.973	1	2.1	20111219171838	-77.879
37.93	6.7	1.8	20110903033338	-77.972
37.972	2.6	2.2	20110917183738	-77.831
37.91	8.2	1.3	20110827000239	-77.987
37.937	5	2.4	20110916161739	-77.985
37.96	3.7	2	20111010083739	-77.806
37.944	1	2.3	20111006224239	-77.854
37.922	8.8	2.2	20110826145339	-77.966
37.947	5.8	2.3	20110923094140	-77.97
37.956	2.5	2.3	20111211024240	-77.998
37.973	3	2.1	20110917195140	-77.831
37.98	5.3	2.1	20110902005240	-77.825
37.94	4.7	2.6	20111015001541	-77.986
37.707	4.8	2.1	20120315151841	-77.665
37.973	3.3	1.7	20110902001941	-77.885
37.95	5.8	2.4	20111109022441	-77.962
37.915	5.2	2.2	20110917162641	-77.993
37.935	7.4	2.1	20110909192741	-77.99
37.918	4.4	2.5	20110919152941	-77.998
37.947	6.6	1.5	20110829093841	-77.971
37.957	2.8	2.3	20111206005641	-77.998
37.968	2.7	2	20111208070242	-77.885
37.959	7.3	1.3	20110827102242	-77.996
37.98	3	2.3	20110914153142	-77.822
37.938	6.8	2	20110905194242	-77.992
37.945	7.6	0.6	20110830014542	-77.947
37.944	4.3	2.2	20111202175642	-77.979
37.95	9.5	2.2	20110826105742	-77.928
37.916	5.4	1.5	20110906090043	-77.995
37.958	2.5	2.3	20111205091343	-78
37.947	7.5	2.3	20110831191843	-77.972
37.958	3.3	2.2	20111127092643	-77.965
37.938	6.4	1.9	20110829054143	-77.99
37.956	1.5	2.5	20110827045343	-77.858
37.972	3.8	2.1	20110911105443	-77.832
37.96	8.2	2.4	20110907055643	-77.946
37.974	2.5	2.3	20110919045843	-77.831
37.958	2.5	2.1	20111218090844	-78
37.954	2.8	2.4	20111015161344	-77.98
37.948	5.8	2.4	20111205203144	-77.97
37.942	7.9	2.2	20110907153444	-77.987
37.918	4.4	2.1	20111126093944	-77.997
37.959	8.6	2.1	20110827184344	-77.951
37.921	7.2	1.6	20110905004444	-77.991
37.941	4.3	2.5	20111019000245	-77.988
37.976	1.4	2.3	20111102122845	-77.883
37.952	8.9	2.7	20110827113045	-77.945
37.888	3.5	2.2	20110912173245	-77.506
37.953	6.6	2.2	20120319154245	-77.951
37.908	7.7	1.8	20110828210946	-77.989
37.917	5.3	1.8	20110829073846	-77.995
37.939	4.7	1.3	20110827044046	-77.854
37.962	2.2	2.4	20110912205046	-77.992
37.932	4.8	2.2	20120107055746	-77.999
37.931	9.7	2.5	20110825040647	-77.954
37.956	2.9	2.4	20111221201047	-77.998
37.976	4.7	0.8	20110905212147	-77.829
