ID,Quad,Long,Lat,apfaults,qfaults,landslides,lique,geology,earthquakes,hillshades,
1,Aetna Springs,-122.4375,38.6875,NO,YES,YES,YES,YES,YES,YES,
2,Allendale,-121.9375,38.4375,NO,NO,YES,YES,YES,YES,YES,
3,Altamont,-121.6875,37.6875,YES,YES,YES,YES,YES,YES,YES,
4,Annapolis,-123.3125,38.6875,YES,YES,YES,YES,YES,YES,YES,
5,Ano Nuevo,-122.3125,37.0625,YES,YES,YES,YES,YES,YES,YES,
6,Antioch North,-121.8125,38.0625,NO,YES,YES,YES,YES,YES,YES,
7,Antioch South,-121.8125,37.9375,NO,YES,YES,YES,YES,YES,YES,
8,Arched Rock,-123.1875,38.4375,YES,YES,YES,YES,YES,NO,YES,
9,Asti,-122.9375,38.8125,YES,YES,YES,YES,YES,YES,YES,
10,Benicia,-122.1875,38.0625,NO,YES,YES,YES,YES,YES,YES,
11,Bickmore Canyon,-121.1875,36.5625,YES,YES,NO,NO,YES,YES,YES,
12,Big Basin,-122.1875,37.1875,NO,YES,YES,YES,YES,YES,YES,
13,Big Foot Mountain,-123.1875,38.8125,NO,NO,YES,YES,YES,YES,YES,
14,Birds Landing,-121.8125,38.1875,NO,NO,YES,YES,YES,YES,YES,
15,Bodega Head,-123.0625,38.3125,YES,YES,YES,YES,YES,YES,YES,
16,Bolinas,-122.6875,37.9375,YES,YES,YES,YES,YES,YES,YES,
17,Bouldin Island,-121.5625,38.0625,NO,NO,YES,YES,YES,NO,YES,
18,Brentwood,-121.6875,37.9375,NO,YES,YES,YES,YES,YES,YES,
19,Briones Valley,-122.1875,37.9375,NO,YES,YES,YES,YES,YES,YES,
20,Brooks,-122.1875,38.6875,NO,NO,YES,YES,YES,YES,YES,
21,Byron Hot Springs,-121.6875,37.8125,YES,YES,YES,YES,YES,YES,YES,
22,Calaveras Reservoir,-121.8125,37.4375,YES,YES,YES,YES,YES,YES,YES,
23,Calistoga,-122.5625,38.5625,NO,YES,YES,YES,YES,YES,YES,
24,Camp Meeker,-122.9375,38.4375,NO,YES,YES,YES,YES,YES,YES,
25,Capell Valley,-122.1875,38.4375,NO,YES,YES,YES,YES,YES,YES,
26,Carmel Valley,-121.6875,36.4375,NO,YES,NO,NO,NO,YES,YES,
27,Castle Rock Ridge,-122.0625,37.1875,YES,YES,YES,YES,YES,YES,YES,
28,Cazadero,-123.0625,38.5625,NO,NO,YES,YES,YES,YES,YES,
29,Cedar Mountain,-121.5625,37.5625,YES,YES,YES,YES,YES,YES,YES,
30,Cerro Colorado,-120.9375,36.6875,YES,YES,NO,NO,NO,NO,YES,
31,Cherry Peak,-121.1875,36.6875,YES,YES,NO,NO,YES,YES,YES,
32,Chiles Valley,-122.3125,38.5625,NO,YES,YES,YES,YES,YES,YES,
33,Chittenden,-121.5625,36.9375,YES,YES,YES,YES,YES,YES,YES,
34,Chualar,-121.5625,36.5625,NO,YES,NO,NO,YES,YES,YES,
35,Clayton,-121.9375,37.9375,YES,YES,YES,YES,YES,YES,YES,
36,Clifton Court Forebay,-121.5625,37.8125,NO,YES,YES,YES,YES,YES,YES,
37,Cloverdale,-123.0625,38.8125,NO,YES,YES,YES,YES,YES,YES,
38,Cordelia,-122.1875,38.1875,YES,YES,YES,YES,YES,YES,YES,
39,Cotati,-122.6875,38.3125,YES,YES,YES,YES,YES,YES,YES,
0,Courtland,-121.5625,38.3125,NO,NO,YES,YES,YES,YES,NO,
40,Crevison Peak,-121.1875,37.1875,YES,YES,YES,YES,YES,YES,YES,
41,Cupertino,-122.0625,37.3125,YES,YES,YES,YES,YES,YES,YES,
42,Cuttings Wharf,-122.3125,38.1875,YES,YES,YES,YES,YES,YES,YES,
43,Davenport,-122.1875,37.0625,NO,YES,YES,NO,YES,YES,YES,
44,Davis,-121.6875,38.5625,NO,NO,YES,YES,YES,YES,YES,
45,Denverton,-121.9375,38.1875,NO,YES,YES,YES,YES,YES,YES,
46,Detert Reservoir,-122.5625,38.6875,NO,YES,YES,YES,YES,YES,YES,
47,Diablo,-121.9375,37.8125,YES,YES,YES,YES,YES,YES,YES,
48,Dixon,-121.8125,38.4375,NO,NO,YES,YES,YES,YES,YES,
49,Double Point,-122.8125,37.9375,YES,YES,YES,YES,YES,YES,YES,
50,Dozier,-121.8125,38.3125,NO,YES,YES,YES,YES,YES,YES,
51,Drakes Bay,-122.9375,38.0625,YES,YES,YES,YES,YES,YES,YES,
52,Drakes Bay OE S,-122.9375,37.9375,NO,YES,YES,YES,YES,YES,YES,
53,Drakes Bay OE SW,-123.0625,37.9375,NO,YES,YES,YES,YES,NO,YES,
54,Drakes Bay OE W,-123.0625,38.0625,NO,YES,YES,YES,YES,NO,YES,
55,Dublin,-121.9375,37.6875,YES,YES,YES,YES,YES,YES,YES,
56,Duncans Mills,-123.0625,38.4375,YES,YES,YES,YES,YES,NO,YES,
57,Elmira,-121.9375,38.3125,NO,YES,YES,YES,YES,YES,YES,
58,Eylar Mountain,-121.5625,37.4375,YES,YES,YES,YES,YES,YES,YES,
59,Fairfield North,-122.0625,38.3125,NO,YES,YES,YES,YES,YES,YES,
60,Fairfield South,-122.0625,38.1875,YES,YES,YES,YES,YES,YES,YES,
61,Farallon Islands OE N,-123.0625,37.8125,NO,NO,NO,NO,YES,NO,NO,
62,Felton,-122.0625,37.0625,NO,YES,YES,NO,YES,YES,YES,
63,Fort Ross,-123.1875,38.5625,YES,YES,YES,YES,YES,YES,YES,
64,Franklin Point,-122.3125,37.1875,YES,YES,YES,YES,YES,YES,YES,
65,Geyserville,-122.9375,38.6875,YES,YES,YES,YES,YES,YES,YES,
66,Gilroy,-121.5625,37.0625,YES,YES,YES,YES,YES,YES,YES,
67,Gilroy Hot Springs,-121.4375,37.0625,YES,YES,YES,YES,YES,YES,YES,
68,Glen Ellen,-122.5625,38.3125,YES,YES,YES,YES,YES,YES,YES,
69,Gonzales,-121.4375,36.5625,NO,NO,NO,NO,YES,YES,YES,
70,Gualala,-123.5625,38.8125,YES,YES,YES,YES,YES,YES,YES,
71,Gube Mountain,-123.3125,38.8125,NO,NO,YES,YES,YES,YES,YES,
72,Guerneville,-122.9375,38.5625,NO,YES,YES,YES,YES,YES,YES,
73,Guinda,-122.1875,38.8125,NO,NO,YES,YES,NO,YES,YES,
74,Half Moon Bay,-122.4375,37.4375,YES,YES,YES,YES,YES,YES,YES,
75,Hayward,-122.0625,37.6875,YES,YES,YES,YES,YES,YES,YES,
76,Healdsburg,-122.8125,38.5625,YES,YES,YES,YES,YES,YES,YES,
77,Hollister,-121.4375,36.8125,YES,YES,NO,NO,YES,YES,YES,
78,Honker Bay,-121.9375,38.0625,NO,YES,YES,YES,YES,YES,YES,
79,Hunters Point,-122.3125,37.6875,NO,NO,YES,YES,YES,YES,YES,
80,Inverness,-122.8125,38.0625,YES,YES,YES,YES,YES,YES,YES,
81,Isabel Valley,-121.5625,37.3125,NO,YES,YES,YES,YES,YES,YES,
82,Isleton,-121.5625,38.1875,NO,NO,YES,YES,YES,NO,YES,
83,Jericho Valley,-122.4375,38.8125,YES,YES,YES,YES,YES,YES,YES,
84,Jersey Island,-121.6875,38.0625,NO,YES,YES,YES,YES,YES,YES,
85,Jimtown,-122.8125,38.6875,YES,YES,YES,YES,YES,YES,YES,
86,Kenwood,-122.5625,38.4375,NO,YES,YES,YES,YES,YES,YES,
87,Knoxville,-122.3125,38.8125,YES,YES,YES,YES,YES,YES,YES,
88,La Costa Valley,-121.8125,37.5625,YES,YES,YES,YES,YES,YES,YES,
89,La Honda,-122.3125,37.3125,NO,YES,YES,YES,YES,YES,YES,
90,Lake Berryessa,-122.1875,38.5625,NO,YES,YES,YES,YES,YES,YES,
91,Las Trampas Ridge,-122.0625,37.8125,NO,YES,YES,YES,YES,YES,YES,
92,Laurel,-121.9375,37.0625,YES,YES,YES,YES,YES,NO,YES,
